SSH connection established.
Transferred /mnt/hdo/san_78/user_home/78images/auto8678p1_64_hyp/mtk-core-image-auto8678-hyp-auto8678p1_64_hyp.rootfs-20240812145317.spdx.tar.zst to Administrator@100.64.0.3:D:/78images/yocto/test
Transferred /mnt/hdo/san_78/user_home/78images/auto8678p1_64_hyp/fitImage--6.6-r0-auto8678p1_64_hyp-20240812145317.bin to Administrator@100.64.0.3:D:/78images/yocto/test
Transferred /mnt/hdo/san_78/user_home/78images/auto8678p1_64_hyp/unpack_symbols.sh to Administrator@100.64.0.3:D:/78images/yocto/test
Transferred /mnt/hdo/san_78/user_home/78images/auto8678p1_64_hyp/flash_tool.txt to Administrator@100.64.0.3:D:/78images/yocto/test
Transferred /mnt/hdo/san_78/user_home/78images/auto8678p1_64_hyp/eu-unstrip to Administrator@100.64.0.3:D:/78images/yocto/test
Transferred /mnt/hdo/san_78/user_home/78images/auto8678p1_64_hyp/core-image-minimal-initramfs-auto8678p1_64_hyp-20240812145317.cpio.lz4 to Administrator@100.64.0.3:D:/78images/yocto/test
Transferred /mnt/hdo/san_78/user_home/78images/auto8678p1_64_hyp/init_boot.img to Administrator@100.64.0.3:D:/78images/yocto/test
Transferred /mnt/hdo/san_78/user_home/78images/auto8678p1_64_hyp/preloader_evb8678_64_SBOOT_DIS.bin to Administrator@100.64.0.3:D:/78images/yocto/test
Transferred /mnt/hdo/san_78/user_home/78images/auto8678p1_64_hyp/vbmeta_system.img to Administrator@100.64.0.3:D:/78images/yocto/test
Transferred /mnt/hdo/san_78/user_home/78images/auto8678p1_64_hyp/libdw.so.1 to Administrator@100.64.0.3:D:/78images/yocto/test
Transferred /mnt/hdo/san_78/user_home/78images/auto8678p1_64_hyp/mvpu_algo.img to Administrator@100.64.0.3:D:/78images/yocto/test
Transferred /mnt/hdo/san_78/user_home/78images/auto8678p1_64_hyp/gz.img to Administrator@100.64.0.3:D:/78images/yocto/test
Transferred /mnt/hdo/san_78/user_home/78images/auto8678p1_64_hyp/core-image-minimal-initramfs-auto8678p1_64_hyp-20240812145317.spdx.tar.zst to Administrator@100.64.0.3:D:/78images/yocto/test
Transferred /mnt/hdo/san_78/user_home/78images/auto8678p1_64_hyp/core-image-minimal-initramfs-auto8678p1_64_hyp.testdata.json to Administrator@100.64.0.3:D:/78images/yocto/test
Transferred /mnt/hdo/san_78/user_home/78images/auto8678p1_64_hyp/auto8678p1_64_bsp_hyp--6.6-r0-auto8678p1_64_hyp-20240812145317.dtb to Administrator@100.64.0.3:D:/78images/yocto/test
Transferred /mnt/hdo/san_78/user_home/78images/auto8678p1_64_hyp/fitImage-its-6.6-r0-auto8678p1_64_hyp-20240812145317.its to Administrator@100.64.0.3:D:/78images/yocto/test
Transferred /mnt/hdo/san_78/user_home/78images/auto8678p1_64_hyp/mtk-core-image-auto8678-hyp-auto8678p1_64_hyp.rootfs-20240812145317.manifest to Administrator@100.64.0.3:D:/78images/yocto/test
Transferred /mnt/hdo/san_78/user_home/78images/auto8678p1_64_hyp/fastboot-linux-x86_64 to Administrator@100.64.0.3:D:/78images/yocto/test
Transferred /mnt/hdo/san_78/user_home/78images/auto8678p1_64_hyp/fitImage-its-auto8678p1_64_hyp.its to Administrator@100.64.0.3:D:/78images/yocto/test
Transferred /mnt/hdo/san_78/user_home/78images/auto8678p1_64_hyp/preloader_auto8678p1_64_bsp_SBOOT_DIS.bin to Administrator@100.64.0.3:D:/78images/yocto/test
Transferred /mnt/hdo/san_78/user_home/78images/auto8678p1_64_hyp/download_agent to Administrator@100.64.0.3:D:/78images/yocto/test
Transferred /mnt/hdo/san_78/user_home/78images/auto8678p1_64_hyp/vendor_boot.img to Administrator@100.64.0.3:D:/78images/yocto/test
Transferred /mnt/hdo/san_78/user_home/78images/auto8678p1_64_hyp/MT6991_Android_scatter.xml to Administrator@100.64.0.3:D:/78images/yocto/test
Transferred /mnt/hdo/san_78/user_home/78images/auto8678p1_64_hyp/Hypervisor_make_yocto_targetfiles.py to Administrator@100.64.0.3:D:/78images/yocto/test
Transferred /mnt/hdo/san_78/user_home/78images/auto8678p1_64_hyp/lk-sboot-dis.elf to Administrator@100.64.0.3:D:/78images/yocto/test
Transferred /mnt/hdo/san_78/user_home/78images/auto8678p1_64_hyp/adb-darwin to Administrator@100.64.0.3:D:/78images/yocto/test
Transferred /mnt/hdo/san_78/user_home/78images/auto8678p1_64_hyp/core-image-minimal-initramfs-auto8678p1_64_hyp-20240812145317.testdata.json to Administrator@100.64.0.3:D:/78images/yocto/test
Transferred /mnt/hdo/san_78/user_home/78images/auto8678p1_64_hyp/cancollect.ext4 to Administrator@100.64.0.3:D:/78images/yocto/test
Transferred /mnt/hdo/san_78/user_home/78images/auto8678p1_64_hyp/APDB_mt8678 to Administrator@100.64.0.3:D:/78images/yocto/test
Transferred /mnt/hdo/san_78/user_home/78images/auto8678p1_64_hyp/lk.bin to Administrator@100.64.0.3:D:/78images/yocto/test
Transferred /mnt/hdo/san_78/user_home/78images/auto8678p1_64_hyp/auto8678p1_64_bsp_hyp-auto8678p1_64_hyp.dtb to Administrator@100.64.0.3:D:/78images/yocto/test
Transferred /mnt/hdo/san_78/user_home/78images/auto8678p1_64_hyp/vcp.img to Administrator@100.64.0.3:D:/78images/yocto/test
Transferred /mnt/hdo/san_78/user_home/78images/auto8678p1_64_hyp/core-image-minimal-initramfs-auto8678p1_64_hyp-20240812145317.manifest to Administrator@100.64.0.3:D:/78images/yocto/test
Transferred /mnt/hdo/san_78/user_home/78images/auto8678p1_64_hyp/nebula_kernel.elf to Administrator@100.64.0.3:D:/78images/yocto/test
Transferred /mnt/hdo/san_78/user_home/78images/auto8678p1_64_hyp/AdbWinUsbApi.dll to Administrator@100.64.0.3:D:/78images/yocto/test
Transferred /mnt/hdo/san_78/user_home/78images/auto8678p1_64_hyp/gpueb.img to Administrator@100.64.0.3:D:/78images/yocto/test
Transferred /mnt/hdo/san_78/user_home/78images/auto8678p1_64_hyp/core-image-minimal-initramfs-auto8678p1_64_hyp.cpio.lz4 to Administrator@100.64.0.3:D:/78images/yocto/test
Transferred /mnt/hdo/san_78/user_home/78images/auto8678p1_64_hyp/fitImage-linux.bin-6.6-r0-auto8678p1_64_hyp-20240812145317.bin to Administrator@100.64.0.3:D:/78images/yocto/test
Transferred /mnt/hdo/san_78/user_home/78images/auto8678p1_64_hyp/pi_img.img to Administrator@100.64.0.3:D:/78images/yocto/test
Transferred /mnt/hdo/san_78/user_home/78images/auto8678p1_64_hyp/tee.img to Administrator@100.64.0.3:D:/78images/yocto/test
Transferred /mnt/hdo/san_78/user_home/78images/auto8678p1_64_hyp/ccu.img to Administrator@100.64.0.3:D:/78images/yocto/test
Transferred /mnt/hdo/san_78/user_home/78images/auto8678p1_64_hyp/mtk-core-image-auto8678-hyp-auto8678p1_64_hyp.rootfs-20240812145317.testdata.json to Administrator@100.64.0.3:D:/78images/yocto/test
Transferred /mnt/hdo/san_78/user_home/78images/auto8678p1_64_hyp/MT6991_Android_scatter.txt to Administrator@100.64.0.3:D:/78images/yocto/test
Transferred /mnt/hdo/san_78/user_home/78images/auto8678p1_64_hyp/yocto-boot.img to Administrator@100.64.0.3:D:/78images/yocto/test
Transferred /mnt/hdo/san_78/user_home/78images/auto8678p1_64_hyp/lk.elf to Administrator@100.64.0.3:D:/78images/yocto/test
Transferred /mnt/hdo/san_78/user_home/78images/auto8678p1_64_hyp/auto8678p1_64_bsp_hyp.dtb to Administrator@100.64.0.3:D:/78images/yocto/test
Transferred /mnt/hdo/san_78/user_home/78images/auto8678p1_64_hyp/vbmeta_vendor.img to Administrator@100.64.0.3:D:/78images/yocto/test
Transferred /mnt/hdo/san_78/user_home/78images/auto8678p1_64_hyp/userdata.ext4 to Administrator@100.64.0.3:D:/78images/yocto/test
Transferred /mnt/hdo/san_78/user_home/78images/auto8678p1_64_hyp/adb.exe to Administrator@100.64.0.3:D:/78images/yocto/test
Transferred /mnt/hdo/san_78/user_home/78images/auto8678p1_64_hyp/yocto_target_files.zip to Administrator@100.64.0.3:D:/78images/yocto/test
Transferred /mnt/hdo/san_78/user_home/78images/auto8678p1_64_hyp/fitImage-auto8678p1_64_hyp.bin to Administrator@100.64.0.3:D:/78images/yocto/test
Transferred /mnt/hdo/san_78/user_home/78images/auto8678p1_64_hyp/modules--6.6-r0-auto8678p1_64_hyp-20240812145317.tgz to Administrator@100.64.0.3:D:/78images/yocto/test
Transferred /mnt/hdo/san_78/user_home/78images/auto8678p1_64_hyp/modules-auto8678p1_64_hyp.tgz to Administrator@100.64.0.3:D:/78images/yocto/test
Transferred /mnt/hdo/san_78/user_home/78images/auto8678p1_64_hyp/system.ext4 to Administrator@100.64.0.3:D:/78images/yocto/test
Transferred /mnt/hdo/san_78/user_home/78images/auto8678p1_64_hyp/super.img to Administrator@100.64.0.3:D:/78images/yocto/test

File transfer process completed.
